Date,portfolio_return,portfolio_value
2021-10-14,0.01967085867367271,19975.974626470255
2021-10-15,0.015583012759221715,20287.26049395243
2021-10-18,0.00460287767678903,20380.64027240325
2021-10-19,0.001514567255528343,20411.508122806536
2021-10-20,-4.841302241079818e-05,20410.519940006347
2021-10-21,0.007869170471890763,20571.13380083418
2021-10-22,-0.0012939307942699371,20544.516177336238
2021-10-25,0.016090338111762092,20875.084388972144
2021-10-26,0.011840913505750218,21122.2644576472
2021-10-27,0.005171597467226696,21231.500307018458
2021-10-28,0.011041428851885138,21465.92640707718
2021-10-29,0.007165857617216521,21619.748179331942
2021-11-01,0.0032422808044753277,21689.845473851386
2021-11-02,0.0011021153128452424,21713.75018468136
2021-11-03,0.008520499436170137,21898.762180887075
2021-11-04,0.012536421113724248,22173.29428545597
2021-11-05,-0.011076760763603078,21927.686009315006
2021-11-08,0.0007130536550237431,21943.32162597016
2021-11-09,-0.013971526073090202,21636.739935742717
2021-11-10,0.003350565519002503,21709.235250515037
2021-11-11,0.003356695900973716,21782.106551493715
2021-11-12,0.004495493732760147,21880.027874982272
2021-11-15,-0.004360857513358629,21784.612191031156
2021-11-16,0.014425532075641248,22098.866812948283
2021-11-17,-0.004853485154287951,21991.610290945053
2021-11-18,0.007203337340549776,22150.023278532633
2021-11-19,0.0002884913388526149,22156.41336840387
2021-11-22,-0.005176333792014853,22041.724377175153
2021-11-23,0.0032072929091025663,22112.41864347446
2021-11-24,0.006473349174696962,22255.560050450746
2021-11-26,-0.027214554227533175,21649.884904593633
2021-11-29,0.009202220344175283,21849.11191591174
2021-11-30,-0.017119005554843636,21475.076847654847
2021-12-01,-0.016822047012761302,21113.822095320935
2021-12-02,0.003358404781823576,21184.73085640843
2021-12-03,-0.013975096272233091,20888.672203188773
2021-12-06,0.011608854711993013,21131.16576392204
2021-12-07,0.025750895947880506,21675.31221476621
2021-12-08,0.004959324706316015,21782.80712615001
2021-12-09,-0.01131532088339864,21536.327673776446
2021-12-10,0.007231193218795606,21692.06102040882
