,ticker,entry_date,exit_date,entry_price,exit_price,return
100,JNJ,2022-11-01,2023-02-01,156.15704345703125,149.7466583251953,-0.0410508869143635
101,PG,2022-12-01,2023-02-01,137.38819885253906,132.63694763183594,-0.034582673478402014
102,HD,2022-12-01,2023-02-01,303.0516662597656,303.9967956542969,0.0031187071372876635
103,KO,2022-12-01,2023-02-01,58.28668212890625,56.038909912109375,-0.038564079043403504
104,MRK,2023-02-01,2023-03-01,97.63264465332031,97.33148193359375,-0.003084651868193765
105,BAC,2023-02-01,2023-03-01,33.01526641845703,31.37920570373535,-0.04955467249560184
106,DIS,2023-02-01,2023-03-01,106.87319946289062,96.27283477783203,-0.09918636981331637
107,TSLA,2023-03-01,2023-05-01,202.77000427246094,161.8300018310547,-0.20190364244602665
108,JNJ,2023-05-01,2023-06-01,149.61651611328125,142.39723205566406,-0.04825191927441453
109,PG,2023-06-01,2023-08-01,134.1851043701172,146.55825805664062,0.09220959170248198
110,AAPL,2023-03-01,2023-09-01,143.23495483398438,187.26531982421875,0.3073995802300319
111,MSFT,2023-03-01,2023-09-01,240.57275390625,322.4398498535156,0.34030078060780244
112,META,2023-02-01,2023-09-01,152.0578155517578,294.32403564453125,0.9356061020378693
113,TSLA,2023-08-01,2023-09-01,261.07000732421875,245.00999450683594,-0.06151611585714683
114,AMZN,2023-02-01,2023-11-01,105.1500015258789,137.0,0.30290059925755075
115,GOOGL,2023-02-01,2023-11-01,99.60674285888672,125.41345977783203,0.25908604355737036
116,NVDA,2022-12-01,2023-11-01,17.117862701416016,42.297725677490234,1.4709700279341125
117,JPM,2022-09-01,2023-11-01,104.9343490600586,132.289794921875,0.26069105213736704
118,V,2022-12-01,2023-11-01,211.7138214111328,234.1181640625,0.10582371288768902
119,MA,2022-12-01,2023-11-01,353.9809265136719,372.94091796875,0.053562183821070454
120,JNJ,2023-09-01,2023-11-01,148.94410705566406,138.00164794921875,-0.0734668817904682
121,PG,2023-09-01,2023-11-01,144.9261474609375,141.2158203125,-0.025601502651117932
122,HD,2023-09-01,2023-11-01,315.09246826171875,271.15093994140625,-0.13945597799505083
123,PFE,2023-09-01,2023-11-01,30.514278411865234,26.01986312866211,-0.14728892561508214
124,DIS,2023-11-01,2023-12-01,79.20477294921875,90.44996643066406,0.1419762100530866
125,ADBE,2023-11-01,2023-12-01,544.5,612.469970703125,0.1248300655704775
126,NKE,2023-11-01,2023-12-01,95.94039916992188,108.28678131103516,0.1286880422422088
127,AAPL,2023-12-01,2024-02-01,189.27374267578125,184.9387664794922,-0.022903209578915087
128,GOOGL,2023-12-01,2024-03-01,130.77911376953125,136.01583862304688,0.04004251674884549
129,JNJ,2024-02-01,2024-03-01,148.15353393554688,152.82278442382812,0.03151629505046146
130,KO,2024-03-01,2024-04-01,56.11030197143555,57.65171813964844,0.027471179338824266
131,MSFT,2023-11-01,2024-05-01,339.5203552246094,388.96978759765625,0.14564497124283948
132,META,2023-11-01,2024-05-01,309.68670654296875,436.6061706542969,0.40983181205331515
133,NVDA,2023-12-01,2024-05-01,46.7348518371582,82.99864196777344,0.7759474718561624
134,V,2023-12-01,2024-05-01,252.18971252441406,263.36932373046875,0.04433016356673315
135,MA,2023-12-01,2024-05-01,409.0090637207031,437.65435791015625,0.07003584206391553
136,JNJ,2024-04-01,2024-05-01,148.73165893554688,142.51016235351562,-0.041830344840887886
137,PG,2023-12-01,2024-05-01,144.0946807861328,156.2083282470703,0.08406727711841586
138,HD,2024-03-01,2024-05-01,366.1304931640625,318.0420837402344,-0.1313422681849113
139,PEP,2024-05-01,2024-07-01,162.98301696777344,152.7698516845703,-0.06266398470966193
140,MRK,2024-05-01,2024-07-01,121.60162353515625,121.47432708740234,-0.001046831810737326
141,BAC,2024-05-01,2024-07-01,35.26611328125,38.418907165527344,0.0894000951886466
142,DIS,2024-05-01,2024-07-01,108.28990936279297,96.09650421142578,-0.11259964315342465
143,XOM,2024-05-01,2024-07-01,108.51298522949219,108.38556671142578,-0.0011742236912654377
144,CVX,2024-05-01,2024-07-01,146.42056274414062,145.0176544189453,-0.009581361380551403
145,META,2024-07-01,2024-08-01,502.2090148925781,495.3029479980469,-0.013751379783591597
146,GOOGL,2024-05-01,2024-10-01,162.51678466796875,166.03123474121094,0.021625151398499628
147,NVDA,2024-07-01,2024-10-01,124.24683380126953,116.95994567871094,-0.058648481410913327
148,JPM,2023-12-01,2024-10-01,149.3330078125,200.60824584960938,0.3433617174676458
149,MSFT,2024-07-01,2024-11-01,450.6370849609375,405.6253662109375,-0.09988463056453009
150,JNJ,2024-08-01,2024-11-01,152.7657470703125,153.32203674316406,0.003641455519446533
151,PG,2024-07-01,2024-11-01,155.5582733154297,159.71632385253906,0.02672985787569128
152,AAPL,2024-07-01,2025-04-01,215.08653259277344,222.22146606445312,0.03317238594937213
153,AMZN,2023-12-01,2025-04-01,147.02999877929688,192.1699981689453,0.3070121727839159
154,GOOGL,2024-11-01,2025-04-01,170.30653381347656,156.5272674560547,-0.08090861841221682
155,META,2024-10-01,2025-04-01,574.1946411132812,584.6776123046875,0.018256825196210937
156,NVDA,2024-11-01,2025-04-01,135.35365295410156,110.1300048828125,-0.1863536559286095
157,TSLA,2024-07-01,2025-04-01,209.86000061035156,268.4599914550781,0.2792337304598104
158,JPM,2024-11-01,2025-04-01,217.3380584716797,238.7642364501953,0.09858456512027584
159,V,2024-10-01,2025-04-01,274.5530090332031,343.77716064453125,0.25213401177095274
160,MA,2024-10-01,2025-04-01,492.1498107910156,545.3612060546875,0.10812032047344895
161,HD,2024-07-01,2025-04-01,324.3240966796875,358.8919677734375,0.10658434401773821
162,JNJ,2025-04-01,2025-05-01,149.09591674804688,150.2731170654297,0.007895590590667424
163,PG,2025-04-01,2025-05-01,166.00439453125,156.6775665283203,-0.056184223491589136
164,PEP,2025-04-01,2025-05-01,143.9055938720703,128.40643310546875,-0.10770367120252504
165,ABBV,2025-04-01,2025-05-01,199.5750274658203,188.79344177246094,-0.05402271932647412
166,MRK,2025-04-01,2025-05-01,84.68882751464844,80.9365463256836,-0.044306684825880016
167,XOM,2025-04-01,2025-05-01,115.08573913574219,102.2662124633789,-0.11139109648713999
168,CVX,2025-04-01,2025-05-01,161.2532958984375,130.39208984375,-0.1913834125544006
169,INTC,2025-04-01,2025-05-01,22.049999237060547,19.979999542236328,-0.09387754042843982
170,KO,2025-04-01,2025-07-01,70.32553100585938,70.62845611572266,0.004307469926363473
171,WMT,2025-05-01,2025-07-01,96.75139617919922,97.81169128417969,0.010958964385553991
172,NFLX,2025-05-01,2025-07-01,113.34700012207031,129.36000061035156,0.14127414462699384
173,MCD,2025-04-01,2025-07-01,306.53857421875,292.4126281738281,-0.04608211570411172
174,TSLA,2025-07-01,2025-08-01,300.7099914550781,302.6300048828125,0.006384933930674526
175,V,2025-07-01,2025-08-01,353.41534423828125,337.3885498046875,-0.0453483265366885
176,MA,2025-07-01,2025-08-01,562.2590942382812,558.313232421875,-0.007017871043512233
177,MSFT,2025-07-01,2025-10-01,489.2081298828125,517.557861328125,0.0579502459456337
178,NVDA,2025-07-01,2025-10-01,153.2828369140625,187.22958374023438,0.22146476089298897
179,PEP,2025-08-01,2025-10-01,135.3851318359375,140.498291015625,0.03776750896016951
180,META,2025-07-01,2025-12-01,718.149169921875,640.3477172851562,-0.10833606149705988
181,TSLA,2025-10-01,2025-12-01,459.4599914550781,430.1400146484375,-0.06381399327890613
